                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7222,                 1.9132,                  1.302,                0.86048,                0.43462,                0.49756,                0.29343,                 1.2019,                 1.0487,                  1.055,             0.00047079,             0.00047079,             0.00047079
                      2,                 1.3015,                0.97135,                 1.0271,                0.71689,                0.56793,                0.61058,                0.38325,                 1.0832,                0.81024,                 1.0039,             0.00063458,             0.00063458,             0.00063458
                      3,                 1.1989,                0.81479,                0.98728,                0.71655,                0.55793,                 0.6086,                0.38852,                 1.1003,                0.82607,                 1.0153,             0.00048398,             0.00048398,             0.00048398
