                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7057,                 1.8728,                 1.3002,                0.87431,                0.44737,                0.50439,                 0.2999,                  1.158,                0.94886,                 1.0532,             0.00047079,             0.00047079,             0.00047079
                      2,                 1.3111,                0.98546,                 1.0277,                0.59111,                0.53993,                0.55996,                 0.3526,                 1.0984,                 0.8335,                 1.0188,             0.00063458,             0.00063458,             0.00063458
                      3,                 1.2035,                0.82479,                0.98671,                0.85248,                0.53154,                0.57663,                0.37488,                 1.0825,                 0.7565,                0.99343,             0.00048398,             0.00048398,             0.00048398
