                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7248,                 1.9179,                 1.3016,                0.86299,                  0.417,                0.49191,                0.29261,                 1.1751,                0.95891,                 1.0459,             0.00047079,             0.00047079,             0.00047079
                      2,                 1.2927,                0.98881,                 1.0185,                0.79995,                0.55534,                0.60988,                0.38569,                 1.0691,                0.78854,                 1.0055,             0.00063458,             0.00063458,             0.00063458
                      3,                 1.1925,                0.81306,                0.98136,                0.57414,                0.61339,                0.58684,                 0.3746,                 1.0683,                 0.7715,                0.98977,             0.00048398,             0.00048398,             0.00048398
